,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_ele_Tl,-9.734085855173102e-05,-0.00018160616336859725,0.0026098552364255236,0.0023309082145051953,0.0021544087182918618
feature_ele_Ce,0.0006090101601091691,-6.293482567820696e-05,0.0015822992046490936,0.0021283745390800555,0.00196721116440781
feature_ele_Ag,-5.019755395896386e-05,0.0012126569251449393,0.0007397569391639053,0.0019022163103498808,0.0017581779400801998
feature_thermo_1173_15_first_df_frac,0.0013126429741010526,-0.00029745991273810723,0.0008124482806393218,0.0018276313420022671,0.001689240645569128
feature_ele_F,0.0015431595264912001,-0.0002448053107360071,0.0003520489857238979,0.001650403201479091,0.0015254324575445133
feature_ele_V,0.00012233853391085958,0.002175104639427494,-0.0007416634755937721,0.0015557796977445817,0.0014379739724216984
feature_ele_Sb,3.042747728942974e-05,0.0016716057878592983,-0.00020187426163240652,0.0015001590035163214,0.0013865649517588033
feature_thermo_1473_15_last_df,0.0009478037852244103,-0.00013442047852452177,0.0006038287096322637,0.0014172120163321524,0.0013098988216926086
feature_ele_Te,0.00017731586200431249,0.00033834479156746866,0.0008295128157632917,0.0013451734693350728,0.0012433151300921513
feature_thermo_1273_15_last_df,0.0005788009498761681,0.0007536813644097862,-3.167152431649195e-05,0.0013008107899694624,0.0012023116523072715
feature_thermo_1073_15_last_df_frac,5.6489058842479345e-05,0.0016971648940534712,-0.0005000934646396601,0.0012535604882562904,0.0011586392068118627
feature_ele_Sm,-0.00020130400826512407,0.0007796902937650119,0.0005319367242883638,0.0011103230097882517,0.0010262478623233398
feature_ele_Ga,9.105400751785453e-05,0.00014202107805783015,0.0007751890607708028,0.0010082641463464875,0.0009319170329025981
feature_text_is_wet,0.0003261818663047311,0.0034237301975248435,-0.002742567786100265,0.0010073442777293095,0.0009310668179708393
feature_avg_p_h_300K,-6.879834391249062e-05,0.000684653693446724,0.00034886077113295447,0.0009647161206671878,0.0008916665221342892
feature_max_p_h_300K,-1.1102230246251565e-16,0.0016999183359678316,-0.0007806903844856308,0.0009192279514820897,0.0008496227781285587
feature_ele_Nb,-0.0002145682141301286,0.004018444593464232,-0.0029627852674056977,0.0008410911119284058,0.0007774025648629051
feature_ele_Ho,-6.579896986602662e-05,0.0012982149149047828,-0.00042843233905390384,0.0008039836059848523,0.0007431048890379352
feature_ele_Th,0.0006507594251022875,0.002269084208925909,-0.0021290388430505913,0.000790804790977605,0.0007309239915784458
feature_ele_Ta,0.00036115950490078763,0.0014616201565795794,-0.0013951187376187594,0.0004276609238616077,0.0003952778651285439
feature_ele_Sc,0.0017447308424525243,-0.00019408042360069544,-0.0011231641177460786,0.0004274863011057503,0.00039511646504196386
feature_ele_S,0.00026516288232170115,0.000972983255251858,-0.0008214837959511112,0.00041666234162244793,0.0003851121102878172
feature_thermo_1573_15_last_df,-0.000181985300331311,-0.00028698549882189006,0.0007123349947981575,0.00024336419564495644,0.0002249363323509845
feature_ele_Cl,-0.00019505785591300562,0.0004825963536316813,-0.00012385648198806414,0.00016368201573061154,0.0001512877939693876
feature_thermo_1573_15_last_df_frac,5.995255572566194e-05,-0.00019571810345508922,0.00029184311408152864,0.00015607756635210136,0.00014425916369689563
feature_ele_Li,0.001863429829650154,5.9596803471118065e-06,-0.0017263723285873152,0.0001430171814099505,0.00013218772861913535
feature_thermo_1473_15_last_df_frac,0.00040493995144419426,0.00014873537599113806,-0.000454197577656201,9.94777497791313e-05,9.194516114642966e-05
feature_ele_Gd,0.0006330872089185258,-0.00031399555052957773,-0.0003459406239590393,-2.6848965570091274e-05,-2.4815925887327015e-05
feature_ele_Nd,0.00010685547912070437,-0.00012607325106039902,-4.907261563280418e-05,-6.829038757249883e-05,-6.311934783453215e-05
feature_thermo_1373_15_first_df_frac,-8.484243305595385e-05,0.00037896863622799426,-0.0003700439015686502,-7.59176983966098e-05,-7.016910845330229e-05
feature_exp_max_mp,1.1102230246251565e-16,-3.2833142611599087e-05,-5.2705521467046604e-05,-8.553866407853467e-05,-7.906156171016542e-05
feature_diff_p_h_300K,1.1102230246251565e-16,0.000715122303264315,-0.0008673997507461678,-0.0001522774474817418,-0.00014074679492411408
feature_ele_Os,1.1102230246251565e-16,3.3306690738754696e-16,-0.00023569335627651204,-0.00023569335627606795,-0.00021784633922722782
feature_ele_Be,1.1102230246251565e-16,3.3306690738754696e-16,-0.00024629485221383583,-0.00024629485221339174,-0.0002276450756734652
feature_ele_P,0.0,3.3306690738754696e-16,-0.00024918565026198214,-0.00024918565026164907,-0.00023031697861637397
feature_ele_Rh,0.0,3.3306690738754696e-16,-0.00024971784624910063,-0.00024971784624876756,-0.00023080887600956728
feature_ele_U,0.0,3.3306690738754696e-16,-0.0002509950405261077,-0.00025099504052577464,-0.00023198935942294813
feature_ele_Tb,1.1102230246251565e-16,3.3306690738754696e-16,-0.0002527022067203821,-0.00025270220671993804,-0.00023356725670324043
feature_ele_Ge,0.0,3.3306690738754696e-16,-0.0002527661700818154,-0.00025276617008148234,-0.00023362637667326104
feature_ele_O,-1.1102230246251565e-16,3.3306690738754696e-16,-0.00025611490230665143,-0.0002561149023064294,-0.00023672153840281987
feature_ele_Re,1.1102230246251565e-16,3.3306690738754696e-16,-0.0002584901736897491,-0.000258490173689305,-0.00023891695105087335
feature_ele_Y,0.00023892280278303701,-0.00027867583492469095,-0.0002218849686977517,-0.0002616380008394056,-0.00024182642050730674
feature_ele_Hg,-1.1102230246251565e-16,3.3306690738754696e-16,-0.00026208822462600226,-0.0002620882246257802,-0.0002422425527447375
feature_ele_Tm,0.0,3.3306690738754696e-16,-0.0002763787094094808,-0.0002763787094091477,-0.0002554509428539292
feature_ele_Se,2.220446049250313e-16,3.3306690738754696e-16,-0.0002886959870724595,-0.0002886959870719044,-0.0002668355397321455
feature_diff_dgf_300K,-2.220446049250313e-16,0.001171191444660713,-0.001532717074725736,-0.0003615256300652451,-0.00033415042447901006
feature_max_dgf_300K,1.1102230246251565e-16,0.0023578487349222854,-0.0028343712366387303,-0.0004765225017163339,-0.00044043957877502697
feature_ele_Dy,-0.0001546852862807091,-6.24347037847528e-05,-0.00026036448659359947,-0.00047748447665906137,-0.0004413287116848916
feature_text_is_again,0.00010879724136136915,-0.00013940701029513392,-0.0004637784036076381,-0.0004943881725414029,-0.00045695243704380777
feature_ele_Pr,-3.84155731480984e-06,0.0012103488650253569,-0.0017685701842371365,-0.0005620628765265895,-0.000519502721678013
feature_ele_Fe,-0.00019989567573786005,0.0010418314678677376,-0.0016462440212313867,-0.0008043082291015091,-0.0007434049312568146
feature_thermo_1173_15_last_df,0.0010543840932608628,0.000275721239572535,-0.0029578216489305354,-0.0016277163160971376,-0.001504463453551302
feature_thermo_1073_15_first_df_frac,-0.00017367515321986549,-0.0002487281366141403,-0.0012648633191329394,-0.0016872666089669452,-0.001559504518376234
feature_thermo_1073_15_last_df,-6.570810737205335e-05,0.00022784359193239734,-0.0021608340770147257,-0.0019986985924543817,-0.0018473544543818395
feature_min_dgf_300K,0.0,-0.00031094683769827824,-0.0017999131051115666,-0.0021108599428098446,-0.0019510227968577325
feature_ele_Sn,-0.00020999585486580763,-0.00026475337163378576,-0.001936494101375498,-0.002411243327875091,-0.002228660749132042
feature_ele_C,-0.00021556126059052438,-0.00022580381731707178,-0.0024232920107437575,-0.0028646570886513537,-0.002647741411824392
feature_ele_Bi,-0.00016983283871785382,-0.0003114155772030447,-0.0024413658422685895,-0.002922614258189488,-0.0027013099867530203
feature_min_p_h_300K,0.0,-0.0003042008984475153,-0.0029386689454874893,-0.0032428698439350046,-0.00299731539001952
feature_ele_Pb,-0.00011137719888898445,0.00025796256453969324,-0.0037089301026054745,-0.0035623447369547657,-0.003292599215660523
