,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_ele_Sb,0.0002430034517686419,0.0033794187047645474,-0.0006755347331055281,0.0029468874234276615,0.001234660008743946
feature_thermo_1273_15_first_df_frac,0.00026929868008651603,0.0015090497239919065,0.0011238858560515391,0.002902234260129962,0.0012159516337482508
feature_ele_Mg,0.0015576012614214596,0.0005468472026471938,0.000618649145168246,0.0027230976092368995,0.0011408985939885122
feature_ele_F,-9.55675812007728e-05,0.0016240559617950456,0.001166591278561776,0.0026950796591560487,0.001129159888866355
feature_ele_As,-0.00013567948476078673,0.0025611681832429234,0.00018404679474992052,0.0026095354932320573,0.0010933193746315562
feature_ele_La,-0.00011254794616466501,0.003569666766899182,-0.0009567046387209072,0.00250041418201361,0.001047600723151341
feature_thermo_1473_15_last_df_frac,0.0008990113600806371,0.000692248339868029,0.0008337226117506443,0.0024249823116993105,0.0010159969662784374
feature_thermo_1573_15_last_df,0.0006387246133870983,0.0007544135589349077,0.0009225778039759173,0.002315715976297923,0.0009702175538890833
feature_ele_Zn,0.00017457962390010628,0.00015317594880626118,0.0018956881537799198,0.0022234437264862872,0.000931558168446138
feature_ele_Pb,-0.0001221394504130613,0.0020475685893446283,0.0002406223923147724,0.0021660515312463395,0.0009075125100631761
feature_text_is_phosphors,-0.0001230244673746661,0.0012556570720527738,0.0009049635927698963,0.002037596197448004,0.0008536934661832489
feature_ele_Dy,0.0021741038531274404,-0.00021940948859855425,-0.00015100164902643625,0.0018036927155024498,0.0007556947191770836
feature_text_is_polycrystal,0.0009309384995807024,0.0014887052792884603,-0.0008014424078702595,0.0016182013709989031,0.000677979247861151
feature_text_is_diameter,0.001298857297463596,0.002762193630043819,-0.0024669258164494133,0.0015941251110580014,0.0006678919961144997
feature_text_is_homoge,-0.00013430325227692386,0.0010901303863148915,0.0006154106479630838,0.0015712377820010514,0.000658302871783204
feature_ele_Pd,1.6477045349794217e-05,0.0020161680755775846,-0.000850525357215369,0.0011821197637120098,0.0004952737543341342
feature_text_is_again,0.00040501731246656014,0.002179640725357701,-0.0014411865575909288,0.0011434714802333323,0.00047908124910357464
feature_thermo_1173_15_last_df_frac,0.002527057802532373,0.0007636922924365575,-0.00224848053275189,0.0010422695622170405,0.00043668059273999906
feature_ele_Cr,-2.6564592583766533e-05,-0.00030699446456550206,0.0012827275634081257,0.0009491685062588571,0.00039767396165882264
feature_ele_Fe,-1.376207778436278e-05,-0.00018082387745099737,0.0010348519516049936,0.0008402659963696335,0.0003520469815634403
feature_thermo_1573_15_last_df_frac,0.0009307386590661215,0.00014346370056561586,-0.00026813582627646605,0.0008060665333552713,0.00033771840254523096
feature_ele_Nd,0.0006775928128535114,-0.0001456448984793468,0.00011220565410466399,0.0006441535684788285,0.000269881585624147
feature_ele_Gd,0.00020574940676576503,-0.0001499592978424502,0.000539162491342415,0.0005949526002657299,0.00024926781281380396
feature_ele_Cd,0.0002468410692241241,0.00174133760183659,-0.0015279706597356596,0.00046020801132505454,0.0001928137541900822
feature_ele_Pr,0.0002595739581902068,-0.00014839142019784646,0.0003397898251320541,0.00045097236312441444,0.00018894428656213491
feature_ele_Cu,2.5886198197322408e-05,-6.069777909156748e-05,0.0004479310458609523,0.0004131194649667072,0.00017308502461719832
feature_thermo_1473_15_last_df,0.0007123537653915823,0.0012623572900156699,-0.0015878637514192653,0.00038684730398798697,0.000162077754286532
feature_thermo_1273_15_last_df_frac,0.0001535478965194459,0.0013431800204668498,-0.0013004144659393376,0.00019631345104695807,8.224961878736025e-05
feature_ele_Cl,0.0006900775568450257,0.0005015457428425574,-0.0010156736605025382,0.00017594963918504485,7.371777466884772e-05
feature_text_is_binder,-0.00012751869606986155,-0.0003141656623790734,0.0005389775699936397,9.729321154470475e-05,4.076302218453594e-05
feature_ele_Th,0.00023029340238600593,0.0005356967430495407,-0.0006799639130696805,8.602623236586614e-05,3.60424860348101e-05
feature_thermo_1173_15_last_df,0.0006518860720109432,0.002569542434279093,-0.0032491739815617908,-2.7745475271754704e-05,-1.1624546112380699e-05
feature_ele_Hg,-3.3306690738754696e-16,0.0,-0.00015698992793086895,-0.00015698992793120202,-6.577420781374729e-05
feature_ele_P,-3.3306690738754696e-16,0.0,-0.00016264868120345694,-0.00016264868120379,-6.81450606361082e-05
feature_ele_Rh,-1.1102230246251565e-16,0.0,-0.00016422641895964512,-0.00016422641895975614,-6.880608680768519e-05
feature_ele_Re,-1.1102230246251565e-16,0.0,-0.00017665317177140095,-0.00017665317177151198,-7.40125343337245e-05
feature_ele_Tb,-2.220446049250313e-16,0.0,-0.00017673828980248023,-0.00017673828980270228,-7.404819630991614e-05
feature_ele_Ge,-2.220446049250313e-16,0.0,-0.00017865500429773085,-0.0001786550042979529,-7.485124386329474e-05
feature_ele_Se,-2.220446049250313e-16,0.0,-0.00018082047683610187,-0.00018082047683632392,-7.575851379220507e-05
feature_ele_O,-3.3306690738754696e-16,-2.220446049250313e-16,-0.0001850898322757355,-0.0001850898322762906,-7.754724938588074e-05
feature_ele_Be,-4.440892098500626e-16,0.0,-0.00018684446806254695,-0.00018684446806299104,-7.82823906805659e-05
feature_ele_Tm,-4.440892098500626e-16,0.0,-0.00018906055845841068,-0.00018906055845885477,-7.921086801763091e-05
feature_ele_Os,-1.1102230246251565e-16,0.0,-0.0001929454997463223,-0.0001929454997464333,-8.083854527668016e-05
feature_ele_U,0.0,0.0,-0.00019639174758475652,-0.00019639174758475652,-8.228242275648182e-05
feature_ele_Lu,-0.0001358864597523768,0.0010841635187653909,-0.0013003752187058602,-0.0003520981596928461,-0.0001475188748199454
feature_text_is_regrinding,3.31088658543921e-05,-0.00030358772372229836,-0.00017445353411814913,-0.00044493239198605536,-0.00018641371455615523
feature_ele_Eu,-1.2964483381838754e-05,0.00030448771092528304,-0.0019553294009301003,-0.001663806173386656,-0.0006970863319211645
feature_text_is_ground,-6.240539500490527e-05,0.0004052724704681765,-0.002772123212853669,-0.002429256137390398,-0.0010177875747771463
